feature,importance
expected_irr_base,0.6019791852338999
credit_tier,0.16149291146162434
equity_pct,0.0851147297689159
ltv,0.08231893954217058
cap_exceedance_prob,0.038108429667934984
cap_multiple,0.014141505529397214
log_investment,0.0027372856078068685
log_property_value,0.002474457059101877
appreciation_cagr,0.0021210360412271248
hei_to_equity_ratio,0.0020844836759288596
appreciation_5yr_total,0.002047670899877337
equity_share_pct,0.001981431356626491
investment_to_value_pct,0.0018732297508707078
term_years,0.001524704404617797
